,round_epochs,val_loss,val_mean_absolute_error,val_mean_squared_error,loss,mean_absolute_error,mean_squared_error,dropout,hidden_layers,neuron_size,activation,batch_size,epochs,lr
24,6000,0.08688680965482719,0.19800228126875058,0.08688680965482719,0.015932117812966898,0.09036081726268186,0.015932117812966898,0,4,24,<function relu at 0x7f9d0b989d08>,16,6000,0.0005
25,3000,0.09658250623331295,0.2134451544660283,0.09658250623331295,0.03510060819276309,0.13374763873674103,0.03510060819276309,0,2,32,<function linear at 0x7f9d0b99a048>,16,3000,0.0005
26,6000,0.0893357557457263,0.19911248289693997,0.0893357557457263,0.01784590270875369,0.09760233547727941,0.01784590270875369,0,2,18,<function relu at 0x7f9d0b989d08>,16,6000,0.0005
27,3000,0.09820494706940464,0.21868751825779442,0.09820494706940464,0.04549258131597002,0.15348187758255813,0.04549258131597002,0,4,32,<function linear at 0x7f9d0b99a048>,8,3000,0.0003
28,6000,0.09234335097506291,0.2187278703676434,0.09234335097506291,0.04796619102106256,0.15464983648162778,0.04796619102106256,0,4,18,<function elu at 0x7f9d0b989ae8>,8,6000,0.0001
29,6000,0.08794850052341702,0.19466602133484337,0.08794850052341702,0.013515630124484078,0.08199942192788852,0.013515630124484078,0,2,24,<function elu at 0x7f9d0b989ae8>,16,6000,0.0003
30,4000,0.08838915748624351,0.19698847666030794,0.08838915748624351,0.019263302667413728,0.10017859910504293,0.019263302667413728,0,2,18,<function elu at 0x7f9d0b989ae8>,8,4000,0.0003
31,3000,0.0899341727687618,0.20223956783925454,0.0899341727687618,0.024241337988336206,0.1152585674392975,0.024241337988336206,0,1,18,<function relu at 0x7f9d0b989d08>,4,3000,0.0005
32,4000,0.08864976905696974,0.19469650922797796,0.08864976905696974,0.01336966847874603,0.08349585755396698,0.01336966847874603,0,1,18,<function elu at 0x7f9d0b989ae8>,4,4000,0.0005
33,6000,0.08484400040286733,0.19320259941375162,0.08484400040286733,0.02583090660114915,0.11177432519399513,0.02583090660114915,0,1,32,<function elu at 0x7f9d0b989ae8>,32,6000,0.0001
34,4000,0.08781888916736513,0.1948245930390095,0.08781888916736513,0.02409327324416678,0.11027771956839803,0.02409327324416678,0,1,24,<function elu at 0x7f9d0b989ae8>,8,4000,0.0001
35,3000,0.09668174831885991,0.21933400067757433,0.09668174831885991,0.054475428372368975,0.16184219700300087,0.054475428372368975,0,4,32,<function relu at 0x7f9d0b989d08>,4,3000,0.0001
36,6000,0.10249900765071704,0.22514180052937485,0.10249900765071704,0.05207612039679188,0.1547092728695627,0.05207612039679188,0,4,18,<function linear at 0x7f9d0b99a048>,4,6000,0.0003
37,4000,0.08753823829213465,0.19441801203986792,0.08753823829213465,0.013907897764406468,0.08621610034320314,0.013907897764406468,0,4,32,<function elu at 0x7f9d0b989ae8>,8,4000,0.0003
38,3000,0.0916784670878583,0.20051902274447164,0.0916784670878583,0.01855837517749455,0.09802243333246749,0.01855837517749455,0,1,24,<function elu at 0x7f9d0b989ae8>,8,3000,0.0005
39,3000,0.10754121036276104,0.23633189816174544,0.10754121036276104,0.07690167843790377,0.1963911822791827,0.07690167843790377,0,4,18,<function linear at 0x7f9d0b99a048>,32,3000,0.0005
40,4000,0.08849391704938543,0.20111710384605438,0.08849391704938543,0.033066938154525674,0.13184742366863508,0.033066938154525674,0,2,32,<function elu at 0x7f9d0b989ae8>,16,4000,0.0001
41,3000,0.10014373533369049,0.21782236822008147,0.10014373533369049,0.04042750791472904,0.14332240511805325,0.04042750791472904,0,2,32,<function linear at 0x7f9d0b99a048>,32,3000,0.0005
42,6000,0.09449198630851084,0.20969812454670433,0.09449198630851084,0.014883678104981023,0.08487586846291009,0.014883678104981023,0,2,32,<function linear at 0x7f9d0b99a048>,16,6000,0.0005
43,4000,0.08750826812635257,0.19546683296913236,0.08750826812635257,0.02348109282932039,0.10860784909987854,0.02348109282932039,0,1,24,<function elu at 0x7f9d0b989ae8>,32,4000,0.0005
44,6000,0.09756183149073068,0.21385469715895616,0.09756183149073068,0.014912804418196113,0.08672440542002856,0.014912804418196113,0,1,24,<function linear at 0x7f9d0b99a048>,8,6000,0.0001
45,6000,0.0885264818945269,0.19490520139848153,0.0885264818945269,0.011234910656713833,0.07491452436325914,0.011234910656713833,0,4,32,<function elu at 0x7f9d0b989ae8>,32,6000,0.0005
46,3000,0.10286519254051794,0.22218288668966668,0.10286519254051794,0.026631222122301488,0.122418346293902,0.026631222122301488,0,4,24,<function relu at 0x7f9d0b989d08>,8,3000,0.0005
47,3000,0.09187800959339291,0.20589243591301085,0.09187800959339291,0.02231018347507816,0.10954567997132318,0.02231018347507816,0,1,18,<function relu at 0x7f9d0b989d08>,8,3000,0.0005
